loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6965,0.1514606922864914,0.00099,1.0,2458,,,,,,,,,
,,,1.0,2458,1.2677773237228394,96.6899,9.805,1.231,,,,,
1.3863,0.23849135637283325,0.00098,2.0,4916,,,,,,,,,
,,,2.0,4916,1.2579901218414307,82.9158,11.433,1.435,,,,,
1.3753,4.003839015960693,0.0009699999999999999,3.0,7374,,,,,,,,,
,,,3.0,7374,3.9018712043762207,94.501,10.032,1.259,,,,,
1.4225,0.5644201636314392,0.00096,4.0,9832,,,,,,,,,
,,,4.0,9832,1.3694264888763428,96.9496,9.778,1.227,,,,,
1.4436,0.49923989176750183,0.00095,5.0,12290,,,,,,,,,
,,,5.0,12290,1.3314553499221802,92.5305,10.245,1.286,,,,,
1.3911,0.3516257107257843,0.00094,6.0,14748,,,,,,,,,
,,,6.0,14748,1.298386812210083,86.5872,10.948,1.374,,,,,
1.349,0.31918880343437195,0.00093,7.0,17206,,,,,,,,,
,,,7.0,17206,1.2615330219268799,88.2815,10.738,1.348,,,,,
1.3223,0.3155728280544281,0.00092,8.0,19664,,,,,,,,,
,,,8.0,19664,1.2528629302978516,87.3834,10.849,1.362,,,,,
1.3143,0.4096831679344177,0.00091,9.0,22122,,,,,,,,,
,,,9.0,22122,1.2479099035263062,89.3187,10.614,1.332,,,,,
1.3042,0.34788185358047485,0.0009000000000000001,10.0,24580,,,,,,,,,
,,,10.0,24580,1.2675812244415283,90.2183,10.508,1.319,,,,,
1.308,0.44926002621650696,0.0008900000000000001,11.0,27038,,,,,,,,,
,,,11.0,27038,1.2371854782104492,96.8682,9.786,1.228,,,,,
1.2864,0.5366514921188354,0.00088,12.0,29496,,,,,,,,,
,,,12.0,29496,1.233513593673706,2144.1367,0.442,0.056,,,,,
1.2874,0.274528443813324,0.00087,13.0,31954,,,,,,,,,
,,,13.0,31954,1.240482211112976,2200.7037,0.431,0.054,,,,,
1.2884,0.7618302702903748,0.00086,14.0,34412,,,,,,,,,
,,,14.0,34412,1.2291632890701294,84.3148,11.244,1.411,,,,,
1.2612,0.501254677772522,0.00085,15.0,36870,,,,,,,,,
,,,15.0,36870,1.222489595413208,89.5486,10.586,1.329,,,,,
1.2646,0.3243171274662018,0.00084,16.0,39328,,,,,,,,,
,,,16.0,39328,1.2198888063430786,92.5222,10.246,1.286,,,,,
1.2399,0.34705525636672974,0.00083,17.0,41786,,,,,,,,,
,,,17.0,41786,1.2098890542984009,93.8127,10.105,1.268,,,,,
1.2307,0.2614838778972626,0.00082,18.0,44244,,,,,,,,,
,,,18.0,44244,1.2080994844436646,94.1149,10.073,1.264,,,,,
1.2229,0.3397391140460968,0.0008100000000000001,19.0,46702,,,,,,,,,
,,,19.0,46702,1.2040271759033203,93.9109,10.095,1.267,,,,,
1.2158,0.26991310715675354,0.0008,20.0,49160,,,,,,,,,
,,,20.0,49160,1.198001742362976,94.612,10.02,1.258,,,,,
1.2103,2.2478647232055664,0.00079,21.0,51618,,,,,,,,,
,,,21.0,51618,1.2007806301116943,93.7084,10.116,1.27,,,,,
1.2057,1.0930731296539307,0.0007800000000000001,22.0,54076,,,,,,,,,
,,,22.0,54076,1.1973284482955933,95.3344,9.944,1.248,,,,,
1.202,0.42908191680908203,0.0007700000000000001,23.0,56534,,,,,,,,,
,,,23.0,56534,1.1929267644882202,106.2192,8.925,1.12,,,,,
1.1942,0.5538429021835327,0.00076,24.0,58992,,,,,,,,,
,,,24.0,58992,1.1910274028778076,93.5176,10.137,1.272,,,,,
1.1896,0.2838531732559204,0.00075,25.0,61450,,,,,,,,,
,,,25.0,61450,1.1857707500457764,95.0281,9.976,1.252,,,,,
1.1845,0.29137009382247925,0.00074,26.0,63908,,,,,,,,,
,,,26.0,63908,1.1847255229949951,95.0859,9.97,1.251,,,,,
1.1815,0.3758017122745514,0.00073,27.0,66366,,,,,,,,,
,,,27.0,66366,1.1858068704605103,95.4013,9.937,1.247,,,,,
1.177,0.38895541429519653,0.0007199999999999999,28.0,68824,,,,,,,,,
,,,28.0,68824,1.181910514831543,96.3125,9.843,1.236,,,,,
1.1732,0.3080246150493622,0.00071,29.0,71282,,,,,,,,,
,,,29.0,71282,1.1799259185791016,94.9405,9.985,1.253,,,,,
1.1676,0.19503891468048096,0.0007,30.0,73740,,,,,,,,,
,,,30.0,73740,1.1799864768981934,91.5183,10.359,1.3,,,,,
1.1619,0.2940927743911743,0.00069,31.0,76198,,,,,,,,,
,,,31.0,76198,1.1787939071655273,94.5902,10.022,1.258,,,,,
1.1596,0.19507618248462677,0.00068,32.0,78656,,,,,,,,,
,,,32.0,78656,1.1749210357666016,95.3048,9.947,1.249,,,,,
1.1578,0.4011313319206238,0.00067,33.0,81114,,,,,,,,,
,,,33.0,81114,1.174290657043457,100.3739,9.445,1.186,,,,,
1.1552,0.29887548089027405,0.00066,34.0,83572,,,,,,,,,
,,,34.0,83572,1.1729867458343506,95.006,9.978,1.253,,,,,
1.156,0.6208569407463074,0.0006500000000000001,35.0,86030,,,,,,,,,
,,,35.0,86030,1.1771478652954102,94.6169,10.019,1.258,,,,,
1.1542,1.0255275964736938,0.00064,36.0,88488,,,,,,,,,
,,,36.0,88488,1.170278549194336,92.0284,10.301,1.293,,,,,
1.1491,0.4767106771469116,0.00063,37.0,90946,,,,,,,,,
,,,37.0,90946,1.1706323623657227,91.7083,10.337,1.298,,,,,
1.146,0.5799959301948547,0.00062,38.0,93404,,,,,,,,,
,,,38.0,93404,1.1703333854675293,94.1113,10.073,1.264,,,,,
1.1414,0.334819495677948,0.00061,39.0,95862,,,,,,,,,
,,,39.0,95862,1.167231559753418,95.4675,9.93,1.246,,,,,
1.1396,0.346406489610672,0.0006,40.0,98320,,,,,,,,,
,,,40.0,98320,1.1683478355407715,96.5017,9.824,1.233,,,,,
1.1359,0.3170214891433716,0.00059,41.0,100778,,,,,,,,,
,,,41.0,100778,1.1685484647750854,96.595,9.814,1.232,,,,,
1.1368,0.3093426525592804,0.00058,42.0,103236,,,,,,,,,
,,,42.0,103236,1.1650524139404297,94.9991,9.979,1.253,,,,,
1.1314,0.5662234425544739,0.00057,43.0,105694,,,,,,,,,
,,,43.0,105694,1.1653742790222168,93.1828,10.174,1.277,,,,,
1.1281,0.4720657169818878,0.0005600000000000001,44.0,108152,,,,,,,,,
,,,44.0,108152,1.1636686325073242,92.7725,10.219,1.283,,,,,
1.1244,0.6235180497169495,0.00055,45.0,110610,,,,,,,,,
,,,45.0,110610,1.1630918979644775,93.3375,10.157,1.275,,,,,
1.1219,0.5408631563186646,0.00054,46.0,113068,,,,,,,,,
,,,46.0,113068,1.1603925228118896,91.4782,10.363,1.301,,,,,
1.1187,0.3477382957935333,0.0005300000000000001,47.0,115526,,,,,,,,,
,,,47.0,115526,1.1580336093902588,91.3245,10.381,1.303,,,,,
1.115,0.30639392137527466,0.0005200000000000001,48.0,117984,,,,,,,,,
,,,48.0,117984,1.1613303422927856,91.7924,10.328,1.296,,,,,
1.113,0.4496906101703644,0.00051,49.0,120442,,,,,,,,,
,,,49.0,120442,1.1566179990768433,92.937,10.2,1.28,,,,,
1.109,0.8146370649337769,0.0005,50.0,122900,,,,,,,,,
,,,50.0,122900,1.158463954925537,92.153,10.287,1.291,,,,,
1.1066,0.4593031108379364,0.00049,51.0,125358,,,,,,,,,
,,,51.0,125358,1.1557304859161377,93.0363,10.19,1.279,,,,,
1.1037,0.41953685879707336,0.00048,52.0,127816,,,,,,,,,
,,,52.0,127816,1.1545950174331665,93.0977,10.183,1.278,,,,,
1.101,0.3605552315711975,0.00047,53.0,130274,,,,,,,,,
,,,53.0,130274,1.1557395458221436,92.7726,10.219,1.283,,,,,
